,0
Некачественное ГДИС,0.4699703510247993
Влияние ствола скважины,0.21342556542846972
Радиальный режим,0.3562730871198602
Линейный режим,0.3975159759386639
Билинейный режим,0.47760967782939806
Сферический режим,0.37740370627471176
Граница постоянного давления,0.33361317430198334
Граница непроницаемый разлом,0.5080165612577374
