,0
Некачественное ГДИС,0.4585480116969334
Влияние ствола скважины,0.21972661895584897
Радиальный режим,0.33950880222572566
Линейный режим,0.5238012121564642
Билинейный режим,0.46295214862740036
Сферический режим,0.4390849814608507
Граница постоянного давления,0.3191572494324191
Граница непроницаемый разлом,0.4451294970420125
